id,ticket_created,issue_type,method,issue,city,state,zip
8960929,2026-08-03 01:49:08+00:00,TV,,Billing,Phoenix,AZ,85022.0
8960925,2026-08-03 01:44:39+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Holt,MI,48842.0
8960923,2026-08-03 01:43:45+00:00,Phone,Internet (VOIP),Unwanted Calls,Arlington,MA,2474.0
8960922,2026-08-03 01:43:01+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Horsham,PA,19044.0
8960919,2026-08-03 01:37:19+00:00,Internet,Wireless,Availability,Phila,PA,19120.0
8960917,2026-08-03 01:33:10+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Redding,CA,96003.0
8960916,2026-08-03 01:32:28+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Tupman,CA,93276.0
8960915,2026-08-03 01:32:26+00:00,Internet,Wireless,Equipment,American fork,UT,84003.0
8960913,2026-08-03 01:32:16+00:00,Phone,Wireless (cell phone/other mobile device),Privacy,Lilburn,GA,30047.0
8960910,2026-08-03 01:31:47+00:00,Internet,Wireless,Billing,Alhambra,CA,91803.0
8960908,2026-08-03 01:31:35+00:00,Internet,Fiber,Billing,Rohnert park,CA,94928.0
8960907,2026-08-03 01:30:12+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Irvine,CA,92620.0
8960903,2026-08-03 01:27:45+00:00,TV,Broadcast,Indecency,Stone mountain,GA,30083.0
8960900,2026-08-03 01:24:23+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,San jose,CA,95129.0
8960897,2026-08-03 01:21:11+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Sealy,TX,77474.0
8960893,2026-08-03 01:18:21+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Allen park,MI,48101.0
8960889,2026-08-03 01:14:30+00:00,Internet,Fiber,Availability,Carthage,TX,75633.0
8960888,2026-08-03 01:13:29+00:00,Phone,Wireless (cell phone/other mobile device),Cramming (unauthorized charges on your phone bill),Sandy springs,GA,30328.0
8960887,2026-08-03 01:11:46+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Wilmer,AL,36587.0
8960886,2026-08-03 01:11:44+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Lincoln,NE,68512.0
8960883,2026-08-03 01:10:21+00:00,TV,Broadcast,Availability,Greenville,SC,29605.0
8960881,2026-08-03 01:04:45+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Sheffield,AL,35660.0
8960878,2026-08-03 01:01:43+00:00,Internet,Wireless,Billing,Port hueneme,CA,93041.0
8960873,2026-08-03 00:56:36+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Los angeles,CA,90001.0
8960871,2026-08-03 00:55:28+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Glendale,AZ,85306.0
8960869,2026-08-03 00:51:30+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Otsego,MN,55301.0
8960866,2026-08-03 00:50:10+00:00,Internet,Cable,Billing,Bronx,NY,10462.0
8960863,2026-08-03 00:46:32+00:00,Internet,Cable,Speed,Houston,TX,77598.0
8960860,2026-08-03 00:44:34+00:00,Internet,Fiber,Privacy,Oak creek,WI,53154.0
8960856,2026-08-03 00:43:05+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Port gibson,MS,39150.0
8960854,2026-08-03 00:41:51+00:00,Internet,Wireless,Equipment,Purcellville,VA,20132.0
8960853,2026-08-03 00:41:20+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,San diego,CA,92101.0
8960851,2026-08-03 00:39:45+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Washington township,NJ,7865.0
8960848,2026-08-03 00:37:24+00:00,TV,,Loud Commercials,Fort washington,MD,20744.0
8960843,2026-08-03 00:34:45+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Maplewood,NJ,7040.0
8960841,2026-08-03 00:33:57+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Teaneck,NJ,7666.0
8960840,2026-08-03 00:32:47+00:00,Phone,Wired,Unwanted Calls,Denver,CO,80239.0
8960839,2026-08-03 00:32:36+00:00,Internet,Fiber,Billing,Bethlehem,PA,18018.0
8960838,2026-08-03 00:32:15+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Miami,FL,33130.0
8960833,2026-08-03 00:28:24+00:00,Internet,Wireless,Interference,Walnut,CA,91789.0
8960830,2026-08-03 00:27:23+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Columbus,OH,43217.0
8960826,2026-08-03 00:23:00+00:00,Internet,Cable,Billing,Fort lupton,CO,80621.0
8960825,2026-08-03 00:22:53+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,San francisco,CA,94158.0
8960817,2026-08-03 00:19:22+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Mesa,AZ,85212.0
8960814,2026-08-03 00:15:00+00:00,Phone,Internet (VOIP),Number Portability (keeping your number if you change providers),Piedmont,OK,73078.0
8960813,2026-08-03 00:13:43+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Arvada,CO,80004.0
8960811,2026-08-03 00:12:46+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Jersey city,NJ,7302.0
8960810,2026-08-03 00:12:37+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Humble,TX,77356.0
8960807,2026-08-03 00:11:50+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Trenton,MI,48183.0
8960804,2026-08-03 00:10:50+00:00,Internet,Cable,Billing,Garden city,NY,11530.0
8960802,2026-08-03 00:06:05+00:00,TV,Cable,Billing,Stamford,CT,6902.0
8960800,2026-08-02 23:59:01+00:00,Phone,Internet (VOIP),Billing,Tarboro,NC,27886.0
8960798,2026-08-02 23:58:04+00:00,Internet,Cable,Speed,Forest,MS,39074.0
8960797,2026-08-02 23:57:59+00:00,Internet,Wireless,Billing,Macomb,MI,48044.0
8960795,2026-08-02 23:56:47+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Oak lawn,IL,60453.0
8960794,2026-08-02 23:56:41+00:00,Phone,Wired,Availability (including rural call completion),Jay,FL,32565.0
8960792,2026-08-02 23:54:23+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Denver,CO,80210.0
8960791,2026-08-02 23:54:10+00:00,Internet,Satellite,Privacy,Texarkana,TX,75501.0
8960788,2026-08-02 23:49:32+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Muldrow,OK,75948.0
8960786,2026-08-02 23:48:26+00:00,Internet,Cable,Billing,Brooklyn,NY,11225.0
8960785,2026-08-02 23:48:15+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Pittsburgh,PA,15204.0
8960783,2026-08-02 23:47:16+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Raleigh,NC,27604.0
8960781,2026-08-02 23:46:29+00:00,TV,Broadcast,Indecency,Carrollton,VA,23314.0
8960779,2026-08-02 23:46:04+00:00,Internet,Wireless,Privacy,New york,NY,10019.0
8960777,2026-08-02 23:44:37+00:00,Internet,Wireless,Interference,East wareham,MA,2558.0
8960775,2026-08-02 23:39:21+00:00,Internet,Wireless,Speed,Livingston,TX,77351.0
8960773,2026-08-02 23:38:07+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Macon,GA,31210.0
8960772,2026-08-02 23:36:58+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,St paul,MN,55103.0
8960768,2026-08-02 23:34:44+00:00,Phone,Wireless (cell phone/other mobile device),Cramming (unauthorized charges on your phone bill),Riverbank,CA,95367.0
8960766,2026-08-02 23:34:09+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Grandville,MI,49418.0
8960763,2026-08-02 23:31:54+00:00,TV,,Loud Commercials,Napa,CA,94559.0
8960761,2026-08-02 23:29:31+00:00,Internet,Satellite,Availability,Vega baja,PR,693.0
8960758,2026-08-02 23:28:25+00:00,Phone,Wireless (cell phone/other mobile device),Billing,South salt lake,UT,84119.0
8960756,2026-08-02 23:26:57+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Framingham,MA,1701.0
8960752,2026-08-02 23:25:09+00:00,Internet,Cable,Privacy,West valley,UT,84119.0
8960749,2026-08-02 23:24:34+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Tulsa,OK,74135.0
8960746,2026-08-02 23:21:15+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Covington,LA,70435.0
8960745,2026-08-02 23:20:21+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Queen creek,AZ,85144.0
8960744,2026-08-02 23:19:50+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Pleasant grove,UT,84062.0
8960741,2026-08-02 23:18:24+00:00,Phone,Wireless (cell phone/other mobile device),Billing,West covina,CA,91790.0
8960740,2026-08-02 23:18:21+00:00,Internet,Wireless,Billing,Newport,ME,4953.0
8960737,2026-08-02 23:10:52+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Suffern,NY,10901.0
8960735,2026-08-02 23:09:16+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Queen creek,AZ,85142.0
8960733,2026-08-02 23:07:55+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Seattle,WA,98106.0
8960732,2026-08-02 23:07:15+00:00,Phone,,Slamming (change of your carrier without permission),Tulsa,OK,74126.0
8960728,2026-08-02 23:05:00+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Levittown,PA,19057.0
8960723,2026-08-02 22:58:42+00:00,Internet,Wireless,Interference,Carson,CA,90746.0
8960721,2026-08-02 22:57:19+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,North chicago,IL,60064.0
8960718,2026-08-02 22:56:11+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Chicago,IL,60641.0
8960715,2026-08-02 22:53:34+00:00,Phone,Wireless (cell phone/other mobile device),Equipment,Lorain,OH,44053.0
8960712,2026-08-02 22:52:50+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Mount pleasant,SC,29466.0
8960707,2026-08-02 22:47:23+00:00,Phone,Wireless (cell phone/other mobile device),Cramming (unauthorized charges on your phone bill),Lutz,FL,33549.0
8960703,2026-08-02 22:45:48+00:00,Internet,Fiber,Equipment,Winstonsalem,NC,27106.0
8960698,2026-08-02 22:43:52+00:00,Phone,Wireless (cell phone/other mobile device),Availability (including rural call completion),Mapleton,KS,66754.0
8960697,2026-08-02 22:42:22+00:00,Internet,Wireless,Billing,Anaheim,CA,92802.0
8960695,2026-08-02 22:41:46+00:00,Phone,Wireless (cell phone/other mobile device),Privacy,Sheffield,AL,35660.0
8960694,2026-08-02 22:40:07+00:00,Phone,Wired,Equipment,Houston,TX,77098.0
8960692,2026-08-02 22:39:28+00:00,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,Tucson,AZ,85712.0
8960688,2026-08-02 22:37:20+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Medford,OR,97504.0
8960687,2026-08-02 22:37:13+00:00,Internet,Cable,Billing,Auburn,WA,98001.0
8960685,2026-08-02 22:36:26+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Lumberton,MS,39455.0
8960680,2026-08-02 22:31:52+00:00,Phone,Wireless (cell phone/other mobile device),Billing,Byron,MI,48418.0
